(*{Q, Y, qT, xsec, deltanum}*)
{  90.000000, -0.200000,  53.300000, ,         0.0001477986} 
{  90.000000, -0.200000,  60.150000, ,         0.0001068398} 
{  90.000000, -0.200000,  68.650000, ,         0.0000566632} 
{  90.000000, -0.200000,  79.400000, ,         0.0000946057} 
{  90.000000, -0.200000,  95.200000, ,         0.0000207483} 
{  90.000000, -0.200000,  118.500000, ,         0.0000293167} 
{  90.000000, -0.200000,  152.500000, ,         0.0000569597} 
{  90.000000, -0.200000,  213.000000, ,         0.0001453182} 
{  90.000000, -0.200000,  326.500000, ,         0.0002561577} 
{  90.000000,  0.200000,  1.250000, ,         0.0001475650} 
{  90.000000,  0.200000,  3.750000, ,         0.0004069276} 
{  90.000000,  0.200000,  6.500000, ,         0.0004735754} 
{  90.000000,  0.200000,  9.700000, ,         0.0004015933} 
{  90.000000,  0.200000,  13.150000, ,         0.0003050482} 
{  90.000000,  0.200000,  16.700000, ,         0.0002357402} 
{  90.000000,  0.200000,  20.250000, ,         0.0007437812} 
{  90.000000,  0.200000,  23.750000, ,         0.0005722164} 
{  90.000000,  0.200000,  27.250000, ,         0.0004475180} 
{  90.000000,  0.200000,  30.800000, ,         0.0003631237} 
{  90.000000,  0.200000,  36.500000, ,         0.0005506938} 
{  90.000000,  0.200000,  42.650000, ,         0.0002145196} 
{  90.000000,  0.200000,  47.550000, ,         0.0001852771} 
{  90.000000,  0.200000,  53.300000, ,         0.0001477986} 
{  90.000000,  0.200000,  60.150000, ,         0.0001068398} 
{  90.000000,  0.200000,  68.650000, ,         0.0000566632} 
{  90.000000,  0.200000,  79.400000, ,         0.0000946057} 
{  90.000000,  0.200000,  95.200000, ,         0.0000207483} 
{  90.000000,  0.200000,  118.500000, ,         0.0000293167} 
{  90.000000,  0.200000,  152.500000, ,         0.0000569597} 
{  90.000000,  0.200000,  213.000000, ,         0.0001453182} 
{  90.000000,  0.200000,  326.500000, ,         0.0002561577} 
{  90.000000,  0.600000,  1.250000, ,         0.0001371487} 
{  90.000000,  0.600000,  3.750000, ,         0.0003694666} 
{  90.000000,  0.600000,  6.500000, ,         0.0004444928} 
{  90.000000,  0.600000,  9.700000, ,         0.0003805274} 
{  90.000000,  0.600000,  13.150000, ,         0.0002905587} 
{  90.000000,  0.600000,  16.700000, ,         0.0002265704} 
{  90.000000,  0.600000,  20.250000, ,         0.0007265302} 
{  90.000000,  0.600000,  23.750000, ,         0.0005588088} 
{  90.000000,  0.600000,  27.250000, ,         0.0004369292} 
{  90.000000,  0.600000,  30.800000, ,         0.0003544865} 
{  90.000000,  0.600000,  36.500000, ,         0.0005375096} 
{  90.000000,  0.600000,  42.650000, ,         0.0002093536} 
{  90.000000,  0.600000,  47.550000, ,         0.0001808311} 
{  90.000000,  0.600000,  53.300000, ,         0.0001443552} 
{  90.000000,  0.600000,  60.150000, ,         0.0001044967} 
{  90.000000,  0.600000,  68.650000, ,         0.0000592075} 
{  90.000000,  0.600000,  79.400000, ,         0.0000690452} 
{  90.000000,  0.600000,  95.200000, ,         0.0000479679} 
{  90.000000,  0.600000,  118.500000, ,         0.0000294265} 
{  90.000000,  0.600000,  152.500000, ,         0.0000508977} 
{  90.000000,  0.600000,  213.000000, ,         0.0001344686} 
{  90.000000,  0.600000,  326.500000, ,         0.0002417002} 
{  90.000000,  1.000000,  1.250000, ,         0.0002200164} 
{  90.000000,  1.000000,  3.750000, ,         0.0003779527} 
{  90.000000,  1.000000,  6.500000, ,         0.0004514604} 
{  90.000000,  1.000000,  9.700000, ,         0.0003855375} 
{  90.000000,  1.000000,  13.150000, ,         0.0002938519} 
{  90.000000,  1.000000,  16.700000, ,         0.0009191460} 
{  90.000000,  1.000000,  20.250000, ,         0.0006663383} 
{  90.000000,  1.000000,  23.750000, ,         0.0005455708} 
{  90.000000,  1.000000,  27.250000, ,         0.0004262076} 
{  90.000000,  1.000000,  30.800000, ,         0.0003454600} 
{  90.000000,  1.000000,  36.500000, ,         0.0005229427} 
{  90.000000,  1.000000,  42.650000, ,         0.0002031889} 
{  90.000000,  1.000000,  47.550000, ,         0.0001750383} 
{  90.000000,  1.000000,  53.300000, ,         0.0001390283} 
{  90.000000,  1.000000,  60.150000, ,         0.0000996576} 
{  90.000000,  1.000000,  68.650000, ,         0.0000623206} 
{  90.000000,  1.000000,  79.400000, ,         0.0000991911} 
{  90.000000,  1.000000,  95.200000, ,         0.0000236558} 
{  90.000000,  1.000000,  118.500000, ,         0.0000118850} 
{  90.000000,  1.000000,  152.500000, ,         0.0000526442} 
{  90.000000,  1.000000,  213.000000, ,         0.0001386226} 
{  90.000000,  1.000000,  326.500000, ,         0.0002479260} 
{  90.000000,  1.400000,  1.250000, ,         0.0002391390} 
{  90.000000,  1.400000,  3.750000, ,         0.0004129583} 
{  90.000000,  1.400000,  6.500000, ,         0.0004532003} 
{  90.000000,  1.400000,  9.700000, ,         0.0003778825} 
{  90.000000,  1.400000,  13.150000, ,         0.0002843226} 
{  90.000000,  1.400000,  16.700000, ,         0.0002194128} 
{  90.000000,  1.400000,  20.250000, ,         0.0006758969} 
{  90.000000,  1.400000,  23.750000, ,         0.0005171445} 
{  90.000000,  1.400000,  27.250000, ,         0.0004022362} 
{  90.000000,  1.400000,  30.800000, ,         0.0003244937} 
{  90.000000,  1.400000,  36.500000, ,         0.0004871757} 
{  90.000000,  1.400000,  42.650000, ,         0.0001870763} 
{  90.000000,  1.400000,  47.550000, ,         0.0001592659} 
{  90.000000,  1.400000,  53.300000, ,         0.0001240871} 
{  90.000000,  1.400000,  60.150000, ,         0.0000854185} 
{  90.000000,  1.400000,  68.650000, ,         0.0000595769} 
{  90.000000,  1.400000,  79.400000, ,         0.0000951066} 
{  90.000000,  1.400000,  95.200000, ,         0.0000331868} 
{  90.000000,  1.400000,  118.500000, ,         0.0000393238} 
{  90.000000,  1.400000,  152.500000, ,         0.0000582285} 
{  90.000000,  1.400000,  213.000000, ,         0.0001428040} 
{  90.000000,  1.400000,  326.500000, ,         0.0002501328} 
{  90.000000,  1.800000,  1.250000, ,         0.0001929052} 
{  90.000000,  1.800000,  3.750000, ,         0.0003998740} 
{  90.000000,  1.800000,  6.500000, ,         0.0004294893} 
{  90.000000,  1.800000,  9.700000, ,         0.0003549732} 
{  90.000000,  1.800000,  13.150000, ,         0.0011185644} 
{  90.000000,  1.800000,  16.700000, ,         0.0008231581} 
{  90.000000,  1.800000,  20.250000, ,         0.0005917190} 
{  90.000000,  1.800000,  23.750000, ,         0.0004498148} 
{  90.000000,  1.800000,  27.250000, ,         0.0003475234} 
{  90.000000,  1.800000,  30.800000, ,         0.0003001248} 
{  90.000000,  1.800000,  36.500000, ,         0.0004472691} 
{  90.000000,  1.800000,  42.650000, ,         0.0001699520} 
{  90.000000,  1.800000,  47.550000, ,         0.0001430395} 
{  90.000000,  1.800000,  53.300000, ,         0.0001092566} 
{  90.000000,  1.800000,  60.150000, ,         0.0000721432} 
{  90.000000,  1.800000,  68.650000, ,         0.0000613892} 
{  90.000000,  1.800000,  79.400000, ,         0.0000259447} 
{  90.000000,  1.800000,  95.200000, ,         0.0000281924} 
{  90.000000,  1.800000,  118.500000, ,         0.0000444664} 
{  90.000000,  1.800000,  152.500000, ,         0.0000585448} 
{  90.000000,  1.800000,  213.000000, ,         0.0001397914} 
{  90.000000,  1.800000,  326.500000, ,         0.0002415138} 
{  90.000000,  2.200000,  1.250000, ,         0.0001396586} 
{  90.000000,  2.200000,  3.750000, ,         0.0008283467} 
{  90.000000,  2.200000,  6.500000, ,         0.0008820158} 
{  90.000000,  2.200000,  9.700000, ,         0.0007297977} 
{  90.000000,  2.200000,  13.150000, ,         0.0005464570} 
{  90.000000,  2.200000,  16.700000, ,         0.0004200651} 
{  90.000000,  2.200000,  20.250000, ,         0.0003142474} 
{  90.000000,  2.200000,  23.750000, ,         0.0002481860} 
{  90.000000,  2.200000,  27.250000, ,         0.0001993596} 
{  90.000000,  2.200000,  30.800000, ,         0.0001664075} 
{  90.000000,  2.200000,  36.500000, ,         0.0002650375} 
{  90.000000,  2.200000,  42.650000, ,         0.0001101557} 
{  90.000000,  2.200000,  47.550000, ,         0.0001923518} 
{  90.000000,  2.200000,  53.300000, ,         0.0001545461} 
{  90.000000,  2.200000,  60.150000, ,         0.0001134390} 
{  90.000000,  2.200000,  68.650000, ,         0.0001117334} 
{  90.000000,  2.200000,  79.400000, ,         0.0000537832} 
{  90.000000,  2.200000,  95.200000, ,         0.0000149308} 
{  90.000000,  2.200000,  118.500000, ,         0.0000563372} 
{  90.000000,  2.200000,  152.500000, ,         0.0001263060} 
{  90.000000,  2.200000,  213.000000, ,         0.0002936757} 
{  90.000000,  2.200000,  326.500000, ,         0.0005057037} 
{  90.000000,  2.600000,  1.250000, ,         0.0001395075} 
{  90.000000,  2.600000,  3.750000, ,         0.0014041581} 
{  90.000000,  2.600000,  6.500000, ,         0.0012398145} 
{  90.000000,  2.600000,  9.700000, ,         0.0009545659} 
{  90.000000,  2.600000,  13.150000, ,         0.0006841191} 
{  90.000000,  2.600000,  16.700000, ,         0.0005088339} 
{  90.000000,  2.600000,  20.250000, ,         0.0003702971} 
{  90.000000,  2.600000,  23.750000, ,         0.0002853320} 
{  90.000000,  2.600000,  27.250000, ,         0.0002238257} 
{  90.000000,  2.600000,  30.800000, ,         0.0001823797} 
{  90.000000,  2.600000,  36.500000, ,         0.0002790325} 
{  90.000000,  2.600000,  42.650000, ,         0.0001101873} 
{  90.000000,  2.600000,  47.550000, ,         0.0000967099} 
{  90.000000,  2.600000,  53.300000, ,         0.0001328202} 
{  90.000000,  2.600000,  60.150000, ,         0.0000879197} 
{  90.000000,  2.600000,  68.650000, ,         0.0000913817} 
{  90.000000,  2.600000,  79.400000, ,         0.0000416572} 
{  90.000000,  2.600000,  95.200000, ,         0.0000025890} 
{  90.000000,  2.600000,  118.500000, ,         0.0000705893} 
{  90.000000,  2.600000,  152.500000, ,         0.0002291114} 
{  90.000000,  2.600000,  213.000000, ,         0.0004566090} 
{  90.000000,  2.600000,  326.500000, ,         0.0007258774} 
{  90.000000,  3.000000,  1.250000, ,         0.0001077293} 
{  90.000000,  3.000000,  3.750000, ,         0.0008701150} 
{  90.000000,  3.000000,  6.500000, ,         0.0004028055} 
{  90.000000,  3.000000,  9.700000, ,         0.0003250004} 
{  90.000000,  3.000000,  13.150000, ,         0.0002405624} 
{  90.000000,  3.000000,  16.700000, ,         0.0003666042} 
{  90.000000,  3.000000,  20.250000, ,         0.0002708006} 
{  90.000000,  3.000000,  23.750000, ,         0.0002115067} 
